"Horário","Segunda-Feira","Terça-Feira","Quarta-Feira","Quinta-Feira","Sexta-Feira","Sábado","Domingo" 
"07:10 - 08:00"," ","Modelagem da Informação da Construção","","Modelagem da Informação da Construção","","","" 
"08:00 - 08:50"," ","Modelagem da Informação da Construção","","Modelagem da Informação da Construção","","","" 
"09:00 - 09:50","Práticas Integradas: Modelagem Paramétrica da Construção","Arquitetura de Residências","Práticas Integradas: Modelagem Paramétrica da Construção","Arquitetura de Residências","Práticas Integradas: Modelagem Paramétrica da Construção","","" 
"09:50 - 10:40","Práticas Integradas: Modelagem Paramétrica da Construção","Arquitetura de Residências","Práticas Integradas: Modelagem Paramétrica da Construção","Arquitetura de Residências","Práticas Integradas: Modelagem Paramétrica da Construção","","" 
"10:50 - 11:40"," ","Arquitetura de Residências","","Arquitetura de Residências","","",""
"11:40 - 12:30"," ","Arquitetura de Residências","","Arquitetura de Residências","","",""






